system:index,date,location,rainfall_mm,.geo
20200626,2020-06-26,Quang Tri,0.07355749078145397,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200627,2020-06-27,Quang Tri,0.9242935472563641,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200628,2020-06-28,Quang Tri,1.985866269399623,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200629,2020-06-29,Quang Tri,3.058838371106761,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630,2020-06-30,Quang Tri,0.08568282997446543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,2020-07-01,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200702,2020-07-02,Quang Tri,1.1659109242035182,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200703,2020-07-03,Quang Tri,2.288742658449221,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200704,2020-07-04,Quang Tri,0.08060350473185858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200705,2020-07-05,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200706,2020-07-06,Quang Tri,0.2745242361272558,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200707,2020-07-07,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200708,2020-07-08,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200709,2020-07-09,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200710,2020-07-10,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200711,2020-07-11,Quang Tri,0.004432897504702121,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200712,2020-07-12,Quang Tri,3.015251451558082,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200713,2020-07-13,Quang Tri,6.226437734569726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200714,2020-07-14,Quang Tri,0.3385466585486652,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200715,2020-07-15,Quang Tri,4.14889564691373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200716,2020-07-16,Quang Tri,1.489500998943042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200717,2020-07-17,Quang Tri,0.7002607688134107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200718,2020-07-18,Quang Tri,1.1580830390277828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200719,2020-07-19,Quang Tri,1.8788998895042337,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200720,2020-07-20,Quang Tri,1.1832939599097836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200721,2020-07-21,Quang Tri,0.009627127202000995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200722,2020-07-22,Quang Tri,12.80421233814517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200723,2020-07-23,Quang Tri,0.10425498557463264,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200724,2020-07-24,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725,2020-07-25,Quang Tri,0.11035069567137035,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200726,2020-07-26,Quang Tri,0.7109219377527581,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200727,2020-07-27,Quang Tri,3.8581438557969268,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200728,2020-07-28,Quang Tri,2.1552398243947444,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200729,2020-07-29,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200730,2020-07-30,Quang Tri,4.561131762794651,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200731,2020-07-31,Quang Tri,41.29307945505773,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,2020-08-01,Quang Tri,50.120193084174105,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200802,2020-08-02,Quang Tri,17.513779792423836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200803,2020-08-03,Quang Tri,3.392385146821939,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200804,2020-08-04,Quang Tri,0.2731236816198062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200805,2020-08-05,Quang Tri,7.464732048375233,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200806,2020-08-06,Quang Tri,4.1953895594019075,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200807,2020-08-07,Quang Tri,1.376180596378224,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200808,2020-08-08,Quang Tri,2.381763941488466,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200809,2020-08-09,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200810,2020-08-10,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200811,2020-08-11,Quang Tri,0.8717534212791477,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200812,2020-08-12,Quang Tri,23.35346259796462,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200813,2020-08-13,Quang Tri,18.600216284315284,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200814,2020-08-14,Quang Tri,21.651598211699948,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200815,2020-08-15,Quang Tri,10.082057962143832,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200816,2020-08-16,Quang Tri,1.3229915799621466,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200817,2020-08-17,Quang Tri,14.589684020268079,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200818,2020-08-18,Quang Tri,6.7273402284907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200819,2020-08-19,Quang Tri,0.9533566631414757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200820,2020-08-20,Quang Tri,9.947674271954888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200821,2020-08-21,Quang Tri,4.165155279731286,"{""type"":""MultiPoint"",""coordinates"":[]}"
